Country Code,Country,Year,Total Percent,Time_Detail,Latitude,Longitude
8,Albania,2008,2.8,2008,41.153332,20.168331
8,Albania,2009,2.7,2009,41.153332,20.168331
8,Albania,2010,2.8,2010,41.153332,20.168331
8,Albania,2011,2.5,2011,41.153332,20.168331
8,Albania,2012,2.4,2012,41.153332,20.168331
8,Albania,2013,2.3,2013,41.153332,20.168331
8,Albania,2014,2.3,2014,41.153332,20.168331
8,Albania,2015,2.4,2015,41.153332,20.168331
8,Albania,2016,2.6,2016,41.153332,20.168331
8,Albania,2017,2.8,2017,41.153332,20.168331
8,Albania,2018,3.2,2018,41.153332,20.168331
8,Albania,2019,3.8,2019,41.153332,20.168331
8,Albania,2020,2.9,2020,41.153332,20.168331
8,Albania,2021,3.3,2021,41.153332,20.168331
8,Albania,2022,4.0,2022,41.153332,20.168331
12,Algeria,2008,0.8,2008,28.033886,1.659626
12,Algeria,2009,1.1,2009,28.033886,1.659626
12,Algeria,2010,1.0,2010,28.033886,1.659626
12,Algeria,2011,0.9,2011,28.033886,1.659626
12,Algeria,2012,0.9,2012,28.033886,1.659626
12,Algeria,2013,1.0,2013,28.033886,1.659626
12,Algeria,2014,1.1,2014,28.033886,1.659626
12,Algeria,2015,1.3,2015,28.033886,1.659626
12,Algeria,2016,1.4,2016,28.033886,1.659626
12,Algeria,2017,1.6,2017,28.033886,1.659626
12,Algeria,2018,1.7,2018,28.033886,1.659626
12,Algeria,2019,1.8,2019,28.033886,1.659626
12,Algeria,2020,1.0,2020,28.033886,1.659626
12,Algeria,2021,1.2,2021,28.033886,1.659626
12,Algeria,2022,1.2,2022,28.033886,1.659626
28,Antigua and Barbuda,2011,10.5,2011,17.060816,-61.796428
28,Antigua and Barbuda,2012,10.2,2012,17.060816,-61.796428
28,Antigua and Barbuda,2013,10.7,2013,17.060816,-61.796428
28,Antigua and Barbuda,2014,10.9,2014,17.060816,-61.796428
28,Antigua and Barbuda,2015,11.3,2015,17.060816,-61.796428
28,Antigua and Barbuda,2016,11.4,2016,17.060816,-61.796428
28,Antigua and Barbuda,2017,10.8,2017,17.060816,-61.796428
28,Antigua and Barbuda,2018,10.7,2018,17.060816,-61.796428
28,Antigua and Barbuda,2019,10.6,2019,17.060816,-61.796428
28,Antigua and Barbuda,2020,7.5,2020,17.060816,-61.796428
28,Antigua and Barbuda,2021,9.7,2021,17.060816,-61.796428
28,Antigua and Barbuda,2022,11.7,2022,17.060816,-61.796428
32,Argentina,2016,1.9,2016,-38.416097,-63.616672
32,Argentina,2017,2.0,2017,-38.416097,-63.616672
32,Argentina,2018,1.8,2018,-38.416097,-63.616672
32,Argentina,2019,1.8,2019,-38.416097,-63.616672
32,Argentina,2020,0.9,2020,-38.416097,-63.616672
32,Argentina,2021,0.8,2021,-38.416097,-63.616672
